Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
   4363    4.4%    0.0%  /lib/x86_64-linux-gnu/libc-2.19.so
   1762    1.8%    0.0%  [vdso]
    918    0.9%    0.0%  /lib/x86_64-linux-gnu/libpthread-2.19.so
    200    0.2%    0.0%  /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19
     73    0.1%    0.0%  /lib/x86_64-linux-gnu/libm-2.19.so

 [JavaScript]:
   ticks  total  nonlib   name
   1407    1.4%    1.5%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/lib/Receiver.js:531:84
   1380    1.4%    1.5%  LazyCompile: *Uint8ArrayConstructByArrayBuffer native typedarray.js:35:42
    951    1.0%    1.0%  LazyCompile: ~Client.processors.16 /opt/box/node_modules/agario-client/agario-client.js:223:23
    911    0.9%    1.0%  Stub: LoadICStub {1}
    831    0.8%    0.9%  Stub: CEntryStub
    810    0.8%    0.9%  LazyCompile: Client.emitEvent /opt/box/node_modules/agario-client/agario-client.js:511:24
    735    0.7%    0.8%  LazyCompile: *subarray native typedarray.js:165:28
    643    0.7%    0.7%  LazyCompile: Bot.onMessage /opt/box/bot.js:149:35
    634    0.6%    0.7%  LazyCompile: *Bot.processors.16 /opt/box/bot.js:310:19
    629    0.6%    0.7%  Builtin: ArgumentsAdaptorTrampoline
    585    0.6%    0.6%  KeyedLoadIC: A keyed load IC from the snapshot
    514    0.5%    0.6%  LazyCompile: *emit events.js:117:44
    513    0.5%    0.6%  Builtin: JSConstructStubGeneric
    511    0.5%    0.6%  LazyCompile: ~emit events.js:117:44
    472    0.5%    0.5%  LazyCompile: *Receiver.expectHeader /opt/box/node_modules/ws/lib/Receiver.js:129:43
    469    0.5%    0.5%  LazyCompile: Ball.emitEvent /opt/box/node_modules/agario-client/agario-client.js:750:24
    455    0.5%    0.5%  Stub: ArgumentsAccessStub
    446    0.5%    0.5%  LazyCompile: ~<anonymous> native v8natives.js:1199:16
    424    0.4%    0.5%  Stub: LoadICStub
    377    0.4%    0.4%  LazyCompile: *Receiver.processPacket /opt/box/node_modules/ws/lib/Receiver.js:187:45
    371    0.4%    0.4%  KeyedLoadIC: A keyed load IC from the snapshot {1}
    354    0.4%    0.4%  LazyCompile: MUL native runtime.js:236:17
    349    0.4%    0.4%  LazyCompile: *clone /opt/box/node_modules/ws/lib/Receiver.js:406:15
    336    0.3%    0.4%  KeyedStoreIC: A keyed store IC from the snapshot {1}
    318    0.3%    0.3%  LazyCompile: *BufferPool.reset /opt/box/node_modules/ws/lib/BufferPool.js:52:38
    302    0.3%    0.3%  Stub: CallConstructStub
    302    0.3%    0.3%  LazyCompile: *Uint8Array native typedarray.js:122:31
    301    0.3%    0.3%  LazyCompile: *Receiver.add /opt/box/node_modules/ws/lib/Receiver.js:78:34
